Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
2.028007018e-4,8.735533983e+13
2.046432616e-4,8.285622737e+13
2.064858215e-4,7.844264516e+13
2.083283813e-4,7.380970924e+13
2.101709412e-4,6.944180299e+13
2.120135010e-4,6.585658324e+13
2.138560608e-4,6.281455521e+13
2.156986207e-4,5.970535960e+13
2.175411805e-4,5.635550321e+13
2.193837404e-4,5.320740123e+13
2.212263002e-4,5.065986068e+13
2.230688601e-4,4.853842366e+13
2.249114199e-4,4.635212592e+13
2.267539798e-4,4.390725773e+13
2.285965396e-4,4.151571173e+13
2.304390994e-4,3.954888933e+13
2.322816593e-4,3.800032713e+13
2.341242191e-4,3.649486140e+13
2.359667790e-4,3.476293052e+13
2.378093388e-4,3.289885809e+13
2.396518987e-4,3.124680353e+13
2.414944585e-4,2.996964426e+13
2.433370184e-4,2.892120877e+13
2.451795782e-4,2.778216582e+13
2.470221380e-4,2.643728951e+13
2.488646979e-4,2.502237041e+13
2.507072577e-4,2.381406064e+13
2.525498176e-4,2.289828679e+13
2.543923774e-4,2.215469960e+13
2.562349373e-4,2.133127175e+13
2.580774971e-4,2.033304207e+13
2.599200570e-4,1.923618125e+13
2.617626168e-4,1.825705663e+13
2.636051766e-4,1.750312105e+13
2.654477365e-4,1.694496929e+13
2.672902963e-4,1.639806874e+13
2.691328562e-4,1.573643092e+13
2.709754160e-4,1.492488867e+13
2.728179759e-4,1.409514838e+13
2.746605357e-4,1.337080257e+13
2.765030956e-4,1.284181275e+13
2.783456554e-4,1.244043044e+13
2.801882152e-4,1.206595355e+13
2.820307751e-4,1.159204543e+13
2.838733349e-4,1.100912106e+13
2.857158948e-4,1.036066593e+13
2.875584546e-4,9.765827641e+12
2.894010145e-4,9.286924108e+12
2.912435743e-4,8.950784197e+12
2.930861342e-4,8.686993408e+12
2.949286940e-4,8.425899557e+12
2.967712538e-4,8.085222982e+12
2.986138137e-4,7.662835597e+12
3.004563735e-4,7.180036604e+12
3.022989334e-4,6.715996111e+12
3.041414932e-4,6.316080234e+12
3.059840531e-4,6.022689718e+12
3.078266129e-4,5.811178832e+12
3.096691728e-4,5.650396479e+12
3.115117326e-4,5.476174529e+12
3.133542924e-4,5.260692685e+12
3.151968523e-4,4.978074714e+12
3.170394121e-4,4.650977198e+12
3.188819720e-4,4.304036954e+12
3.207245318e-4,3.983588721e+12
3.225670917e-4,3.710504403e+12
